PC	Variance_Percentage	cumulative_Percentage
1	17.07691534753631	17.07691534753631
2	12.078417269682129	29.15533261721844
3	9.826329142442901	38.98166175966134
4	8.71997191492951	47.70163367459085
5	7.689992132731573	55.39162580732242
6	4.582144245504289	59.97377005282671
7	4.2171186426898455	64.19088869551656
8	3.4342593126609784	67.62514800817753
9	3.2892094890057377	70.91435749718327
10	3.0730976981917224	73.98745519537499
11	2.793111244904711	76.78056644027971
12	2.3037939145809694	79.08436035486068
13	2.2216178798517756	81.30597823471246
14	2.1046686527312137	83.41064688744366
15	1.7827445734298584	85.19339146087353
16	1.6135090777062469	86.80690053857977
17	1.3412700295432864	88.14817056812306
18	1.13978426057042	89.28795482869347
19	0.9736804856826917	90.26163531437616
20	0.8616602711635798	91.12329558553975
21	0.8244370316538867	91.94773261719364
22	0.7955080541624538	92.74324067135609
23	0.7435745301397617	93.48681520149584
24	0.7337672033592192	94.22058240485507
25	0.49877820157696384	94.71936060643203
